,timestamp,site_id,building_id,meter,meter_reading,primary_use,square_feet,year_built,floor_count,air_temperature,cloud_coverage,dew_temperature,precip_depth_1_hr,sea_level_pressure,wind_direction,wind_speed
0,2016-01-01 00:00:00,0,0,0,0.0,Education,7432,2008.0,,25.0,6.0,20.0,0.0,1019.7,0.0,0.0
1,2016-01-01 01:00:00,0,0,0,0.0,Education,7432,2008.0,,24.4,0.0,21.1,0.0,1020.2,70.0,1.5
2,2016-01-01 02:00:00,0,0,0,0.0,Education,7432,2008.0,,22.8,2.0,21.1,0.0,1020.2,0.0,0.0
3,2016-01-01 03:00:00,0,0,0,0.0,Education,7432,2008.0,,21.1,2.0,20.6,0.0,1020.1,0.0,0.0
4,2016-01-01 04:00:00,0,0,0,0.0,Education,7432,2008.0,,20.0,2.0,20.0,0.0,1020.0,250.0,2.6
5,2016-01-01 05:00:00,0,0,0,0.0,Education,7432,2008.0,,19.4,0.0,19.4,0.0,1017.988377974485,0.0,0.0
6,2016-01-01 06:00:00,0,0,0,0.0,Education,7432,2008.0,,21.1,6.0,21.1,0.0,1019.4,0.0,0.0
7,2016-01-01 07:00:00,0,0,0,0.0,Education,7432,2008.0,,21.1,0.0,21.1,0.0,1018.8,210.0,1.5
8,2016-01-01 08:00:00,0,0,0,0.0,Education,7432,2008.0,,20.6,0.0,20.0,0.0,1018.1,0.0,0.0
9,2016-01-01 09:00:00,0,0,0,0.0,Education,7432,2008.0,,21.1,0.0,20.6,0.0,1019.0,290.0,1.5
10,2016-01-01 10:00:00,0,0,0,0.0,Education,7432,2008.0,,21.1,0.0,20.6,0.0,1018.4,0.0,0.0
11,2016-01-01 11:00:00,0,0,0,0.0,Education,7432,2008.0,,20.6,0.0,20.0,0.0,1018.9,0.0,0.0
12,2016-01-01 12:00:00,0,0,0,0.0,Education,7432,2008.0,,18.9,6.0,18.9,0.0,1019.2,210.0,1.5
13,2016-01-01 13:00:00,0,0,0,0.0,Education,7432,2008.0,,20.0,0.0,20.0,0.0,1019.6,0.0,0.0
14,2016-01-01 14:00:00,0,0,0,0.0,Education,7432,2008.0,,21.7,0.0,21.1,0.0,1020.1,0.0,0.0
15,2016-01-01 15:00:00,0,0,0,0.0,Education,7432,2008.0,,23.9,0.0,21.1,0.0,1020.3,210.0,3.1
16,2016-01-01 16:00:00,0,0,0,0.0,Education,7432,2008.0,,26.1,0.0,20.0,0.0,1020.2,210.0,4.1
17,2016-01-01 17:00:00,0,0,0,0.0,Education,7432,2008.0,,26.7,0.0,20.6,0.0,1019.5,230.0,3.6
18,2016-01-01 18:00:00,0,0,0,0.0,Education,7432,2008.0,,27.8,6.0,20.0,0.0,1018.2,200.0,5.1
19,2016-01-01 19:00:00,0,0,0,0.0,Education,7432,2008.0,,28.3,0.0,19.4,0.0,1017.2,180.0,5.1
20,2016-01-01 20:00:00,0,0,0,0.0,Education,7432,2008.0,,28.3,0.0,18.9,0.0,1017.0,210.0,4.1
21,2016-01-01 21:00:00,0,0,0,0.0,Education,7432,2008.0,,27.8,0.0,18.3,0.0,1016.8,220.0,4.6
22,2016-01-01 22:00:00,0,0,0,0.0,Education,7432,2008.0,,26.7,0.0,18.3,0.0,1016.9,230.0,3.1
23,2016-01-01 23:00:00,0,0,0,0.0,Education,7432,2008.0,,25.6,0.0,18.3,0.0,1017.5,230.0,3.1
24,2016-01-02 00:00:00,0,0,0,0.0,Education,7432,2008.0,,24.4,6.0,18.9,0.0,1018.1,270.0,2.6
25,2016-01-02 01:00:00,0,0,0,0.0,Education,7432,2008.0,,23.9,4.0,18.3,0.0,1018.5,300.0,2.1
26,2016-01-02 02:00:00,0,0,0,0.0,Education,7432,2008.0,,22.2,0.0,19.4,0.0,1017.988377974485,360.0,5.7
27,2016-01-02 03:00:00,0,0,0,0.0,Education,7432,2008.0,,21.1,0.0,18.9,0.0,1019.5,20.0,5.1
28,2016-01-02 04:00:00,0,0,0,0.0,Education,7432,2008.0,,20.6,0.0,17.8,0.0,1019.4,30.0,4.6
29,2016-01-02 05:00:00,0,0,0,0.0,Education,7432,2008.0,,19.4,4.0,17.2,0.0,1019.3,20.0,2.6
30,2016-01-02 06:00:00,0,0,0,0.0,Education,7432,2008.0,,18.9,6.0,17.2,0.0,1019.0,10.0,2.1
31,2016-01-02 07:00:00,0,0,0,0.0,Education,7432,2008.0,,18.9,0.0,17.2,0.0,1018.4,10.0,2.6
32,2016-01-02 08:00:00,0,0,0,0.0,Education,7432,2008.0,,18.9,0.0,16.7,0.0,1018.5,360.0,3.6
33,2016-01-02 09:00:00,0,0,0,0.0,Education,7432,2008.0,,18.3,0.0,16.7,0.0,1018.1,10.0,3.1
34,2016-01-02 10:00:00,0,0,0,0.0,Education,7432,2008.0,,18.9,0.0,16.7,0.0,1018.1,10.0,5.1
35,2016-01-02 11:00:00,0,0,0,0.0,Education,7432,2008.0,,16.7,0.0,13.9,0.0,1018.7,20.0,6.2
36,2016-01-02 12:00:00,0,0,0,0.0,Education,7432,2008.0,,15.6,8.0,13.3,0.0,1019.5,350.0,5.7
37,2016-01-02 13:00:00,0,0,0,0.0,Education,7432,2008.0,,15.0,0.0,13.9,0.0,1020.0,360.0,4.1
38,2016-01-02 14:00:00,0,0,0,0.0,Education,7432,2008.0,,16.1,0.0,13.3,0.0,1020.9,360.0,5.1
39,2016-01-02 15:00:00,0,0,0,0.0,Education,7432,2008.0,,17.2,0.0,13.3,0.0,1021.5,360.0,3.6
40,2016-01-02 16:00:00,0,0,0,0.0,Education,7432,2008.0,,17.8,0.0,13.3,0.0,1021.5,350.0,3.6
41,2016-01-02 17:00:00,0,0,0,0.0,Education,7432,2008.0,,19.4,0.0,11.7,0.0,1020.4,360.0,3.6
42,2016-01-02 18:00:00,0,0,0,0.0,Education,7432,2008.0,,20.6,6.0,11.7,0.0,1018.7,10.0,3.1
43,2016-01-02 19:00:00,0,0,0,0.0,Education,7432,2008.0,,22.2,0.0,12.8,0.0,1017.6,60.0,3.1
44,2016-01-02 20:00:00,0,0,0,0.0,Education,7432,2008.0,,22.8,0.0,13.9,0.0,1016.8,20.0,3.1
45,2016-01-02 21:00:00,0,0,0,0.0,Education,7432,2008.0,,21.1,0.0,13.9,0.0,1017.6,350.0,5.1
46,2016-01-02 22:00:00,0,0,0,0.0,Education,7432,2008.0,,20.0,0.0,13.9,0.0,1017.9,10.0,4.1
47,2016-01-02 23:00:00,0,0,0,0.0,Education,7432,2008.0,,18.9,0.0,13.9,0.0,1018.1,10.0,4.6
48,2016-01-03 00:00:00,0,0,0,0.0,Education,7432,2008.0,,17.8,8.0,13.9,0.0,1018.2,10.0,5.1
49,2016-01-03 01:00:00,0,0,0,0.0,Education,7432,2008.0,,16.7,0.0,12.8,0.0,1018.6,20.0,6.7
50,2016-01-03 02:00:00,0,0,0,0.0,Education,7432,2008.0,,16.7,0.0,12.8,0.0,1018.3,20.0,4.1
51,2016-01-03 03:00:00,0,0,0,0.0,Education,7432,2008.0,,16.1,0.0,12.8,0.0,1018.0,350.0,4.1
52,2016-01-03 04:00:00,0,0,0,0.0,Education,7432,2008.0,,16.7,0.0,12.8,0.0,1018.3,340.0,5.1
53,2016-01-03 05:00:00,0,0,0,0.0,Education,7432,2008.0,,15.6,0.0,12.8,0.0,1019.0,330.0,5.1
54,2016-01-03 06:00:00,0,0,0,0.0,Education,7432,2008.0,,15.6,8.0,13.3,0.0,1018.4,330.0,8.2
55,2016-01-03 07:00:00,0,0,0,0.0,Education,7432,2008.0,,15.0,0.0,12.2,0.0,1017.9,350.0,6.2
56,2016-01-03 08:00:00,0,0,0,0.0,Education,7432,2008.0,,15.0,0.0,12.2,0.0,1017.0,350.0,6.7
57,2016-01-03 09:00:00,0,0,0,0.0,Education,7432,2008.0,,15.0,0.0,12.2,0.0,1016.7,340.0,5.1
58,2016-01-03 10:00:00,0,0,0,0.0,Education,7432,2008.0,,14.4,0.0,11.7,0.0,1017.0,340.0,4.6
59,2016-01-03 11:00:00,0,0,0,0.0,Education,7432,2008.0,,14.4,0.0,12.2,0.0,1016.9,350.0,4.1
60,2016-01-03 12:00:00,0,0,0,0.0,Education,7432,2008.0,,14.4,8.0,12.2,0.0,1017.0,10.0,4.6
61,2016-01-03 13:00:00,0,0,0,0.0,Education,7432,2008.0,,14.4,0.0,12.2,0.0,1017.9,350.0,6.7
62,2016-01-03 14:00:00,0,0,0,0.0,Education,7432,2008.0,,13.3,0.0,11.7,0.0,1019.3,340.0,6.7
63,2016-01-03 15:00:00,0,0,0,0.0,Education,7432,2008.0,,13.3,0.0,11.7,3.0,1019.1,360.0,5.1
64,2016-01-03 16:00:00,0,0,0,0.0,Education,7432,2008.0,,13.3,0.0,12.2,0.0,1016.7,110.0,5.1
65,2016-01-03 17:00:00,0,0,0,0.0,Education,7432,2008.0,,13.3,0.0,12.2,0.0,1016.9,350.0,4.6
66,2016-01-03 18:00:00,0,0,0,0.0,Education,7432,2008.0,,14.4,8.0,12.8,0.0,1016.6,320.0,4.1
67,2016-01-03 19:00:00,0,0,0,0.0,Education,7432,2008.0,,15.0,0.0,12.8,0.0,1015.6,330.0,2.1
68,2016-01-03 20:00:00,0,0,0,0.0,Education,7432,2008.0,,14.4,0.0,12.8,3.0,1015.7,310.0,3.1
69,2016-01-03 21:00:00,0,0,0,0.0,Education,7432,2008.0,,14.4,0.0,13.3,5.0,1015.1,340.0,3.6
70,2016-01-03 22:00:00,0,0,0,0.0,Education,7432,2008.0,,13.9,0.0,12.2,0.0,1015.0,350.0,5.1
71,2016-01-03 23:00:00,0,0,0,0.0,Education,7432,2008.0,,12.8,0.0,11.7,8.0,1014.6,340.0,4.1
72,2016-01-04 00:00:00,0,0,0,0.0,Education,7432,2008.0,,12.2,8.0,11.1,8.0,1015.1,350.0,4.6
73,2016-01-04 01:00:00,0,0,0,0.0,Education,7432,2008.0,,11.7,0.0,11.1,8.0,1015.8,320.0,4.6
74,2016-01-04 02:00:00,0,0,0,0.0,Education,7432,2008.0,,11.1,0.0,10.0,0.0,1016.3,320.0,4.1
75,2016-01-04 03:00:00,0,0,0,0.0,Education,7432,2008.0,,11.1,0.0,10.0,2.0,1017.988377974485,290.0,4.1
76,2016-01-04 04:00:00,0,0,0,0.0,Education,7432,2008.0,,9.4,0.0,7.2,0.0,1015.6,360.0,3.6
77,2016-01-04 05:00:00,0,0,0,0.0,Education,7432,2008.0,,10.6,0.0,7.8,0.0,1014.9,320.0,2.6
78,2016-01-04 06:00:00,0,0,0,0.0,Education,7432,2008.0,,10.0,8.0,8.3,0.0,1015.1,270.0,2.6
79,2016-01-04 07:00:00,0,0,0,0.0,Education,7432,2008.0,,10.0,0.0,7.8,0.0,1014.2,320.0,5.1
80,2016-01-04 08:00:00,0,0,0,0.0,Education,7432,2008.0,,10.6,0.0,7.8,0.0,1014.0,310.0,3.6
81,2016-01-04 09:00:00,0,0,0,0.0,Education,7432,2008.0,,10.6,0.0,6.7,0.0,1013.7,330.0,4.1
